1|||《机械设计基础》这本书的作者是谁|||杨可桢，程光蕴，李仲生
2|||《高等数学》是哪个出版社出版的|||武汉大学出版社
3|||《线性代数》这本书的出版时间是什么|||2013-12-30
4|||安德烈是哪个国家的人|||摩纳哥
5|||《线性代数》的isbn码是什么|||978-7-111-36843-4
6|||《高等数学一（微积分）》是哪一门课的通用教材|||高等数学一（微积分）
7|||万达广场英文怎么说|||amoy wanda plaza
8|||李明的出生年月日是什么|||1963.1
9|||小说《韩娱守护力》完结还是连载|||连载
10|||《夏想》是在哪个网站连载的|||潇湘书院
11|||《大学计算机基础》一共有多少页|||272
12|||城关镇在中国叫什么|||城关镇[临澧县]
13|||李明的老家是哪里|||青海湟源
14|||大学计算机基础这本书多少钱|||25 元
15|||李军现在在哪任职，什么职位|||河南省林业厅党组成员、副厅长
16|||文庙在中国称为什么|||文庙
17|||杨明是什么少数民族的人|||苗族
18|||有一本叫《毛泽东》的书是怎样装订的|||平装(无盘)
19|||西游记属于什么类型的书|||奇幻
20|||王娟是男性还是女性|||女
21|||计算机应用基础是多少开的书|||16
22|||周迅是哪家公司的总裁|||安徽龙润农业科技开发有限公司
23|||博士来拜是什么画|||油画，壁画
24|||李军医生是什么学校毕业的|||天津卫生职工医学院
25|||陈平来自于哪个国家|||中国
26|||万达的总部在哪|||重庆市南岸区江南大道8号（重庆万达）/重庆市万州区北滨路（万州万达）
27|||张宇的性别是什么|||女
28|||城关镇面积有多大|||134.27平方公里
29|||城关镇在哪个地区|||中国西南
30|||和平村在哪个省市县镇|||山东省微山县南阳镇
31|||西城社区是什么时候成立的|||2006年6月
32|||王辉是干什么的|||广东省广播电影电视局官员
33|||东创建国主要做什么生意|||整车销售、售后服务、配件供应
34|||茴香中文学名叫什么|||茴香
35|||王军是哪年哪月哪日出生|||1962年7月
36|||丹顶鹤所属什么界|||动物界
37|||王平还用过别的名字|||原名王惟允，曾用名王明
38|||有谁知到李军这个人都有什么成就|||中国美术学会会员 中国陶瓷协会会员
39|||tcl是国企还是私企|||私企
40|||城关镇的人口规模有多少|||5万
41|||圆锥花序组是什么科植物的特点|||石竹科caryophyllaceae
42|||匆匆那年英文怎样翻译|||back in time
43|||《兄弟》属于哪种小说|||图书 > 小说 > 中国当代小说
44|||刘勇的代表作品有什么|||《中国现代作家的宗教文化情结》
45|||多花秋海棠属于哪个门的植物|||被子植物门 angiospermae
46|||类胡萝卜素是做什么用的|||色素
47|||王军老家在哪|||甘肃高台
48|||命运石之门是哪一种类型的游戏|||假想科学adv
49|||圆锥花序组是哪个目的植物的特点|||中央种子目centrospermae
50|||凤凰山在哪里|||山西省定襄县
